company_id,company_name
14155,AMBL Productions
10910,Strix Drama AB
1406,Mega Film
3602,Rialto Film PrebenPhilipsen
7516,Colt Produzioni Cinematografiche
2092,Mike Zoss Productions
364,The Rank Organisation
4673,King Record Co
17228,TJoy
28045,Gansis
44805,KH Capital
44806,BizAsset
10935,Death Awaits Cinema
12881,Twin Engine Films
12882,Pink Buffalo Films
2373,Patriot Pictures
2609,De Line Pictures
2088,NALA Films
1450,Front Street Productions
6735,Participant Media
6736,Imagenation Abu Dhabi FZ
11448,Exclusive Media Group
14739,Spitfire Pictures
5176,Fortress Features
10285,LD Entertainment
6644,Lions Gate
21958,Motel Man Productions
63813,Rosemont Productions International
89425,Zeke Productions
52831,Stockholm Syndrome Film
58725,Alin Productions
39,Docurama
11001,Walkaway Entertainment
11002,Stoned Gremlin
7926,Studio Filmowe Kadr
72548,Kino wiat koprodukcja
74832,Silesia Film coprodukcja
75746,Chimney Pot The koprodukcja
75747,Polski Instytut Sztuki Filmowej finansowanie
39329,Poefilms
12432,Eesti Joonisfilm
6157,Arnold and Gregor Production
53630,Aica Cinematografica SRL
10914,Peter Jones Productions
10915,Turner Classic Movies TCM
ay Cinematografica id 87980,Hol
10942,Fbulas Negras
68624,KSM
11362,Mark Gordon Productions
7699,Palomar
12424,TV Man Union
1391,Anglia Television
1392,National Broadcasting Company
1393,Tokyo Broadcasting System TBS
35,Lions Gate Films
6455,Edward R Pressman Film
15231,Muse Productions
11594,Passion Pictures
12840,Red Box Films
690,Handprint Entertainment
648,Sony Music Entertainment Japan
7967,Media Factory
3079,Fantefilm
5241,Film Fund FUZZ
688,RankinBass Productions
1872,Bleiberg Entertainment
6242,Barrandov Studios
33629,RWE
691,Cappa Productions
7901,Harmony Gold
54301,Canned Pictures Inc
2640,Odeon Film
693,Alicia Produce S L
6780,Televisin Espaola TVE
9335,Canal Espaa
11954,Sociedad General de Cine SOGECINE SA
11955,Sogepaq
49473,Frakas Productions
695,Lee Daniels Entertainment
23495,titania produzioni
94637,Film 87
94638,Plaza Production International
1415,Capitolina Produzioni Cinematografiche
1666,RhneAlpes Cinma
7131,France Television
12392,Rgion RhneAlpes
15894,Soficinma 8
18367,Centre National de la Cinmatographie CNC
28452,24 Mai Productions
28453,Wallpaper Productions
6100,Achte Babelsberg Film
10947,ARD Degeto Film
53975,Desert Flower Filmproduktion
70636,MTM West Television  Film
11840,Film Victoria
21577,Horosho Production
a Filma id 22083,N
22084,Latvijas Nacionalais Kino Centrs
1388,Centro Nacional Autnomo de Cinematografa
6520,Factor RH Producciones
15511,Fundacin  Villa del Cine
16952,Blue Post
21540,Mary Pickford Company
738,Myriad Pictures
8,Fine Line Features
1261,Scala Productions
14723,Carolco Pictures
51763,Living Pictures
eo System id 94008,3D V
10569,Gene Autry Productions
69696,Marfa
24845,Topkapi Films
24846,Menuet Producties
348,Bedford Falls Productions
430,Lonely Film Productions GmbH  Co KG
705,Spring Creek Productions
7380,Initial Entertainment Group IEG
20938,Liberty Pictures
7405,Dimension Films
700,Kanzaman SA
50915,Motorino Amaranto
20643,Mandragora Movies
36299,Agresywna Banda
66146,Denis Friedman Productions
